run_id,dataset,method,scenario,seed,task_idx,metric,value
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,FWT,0.917
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,Repetition_Gain,0.0685714285714284
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,A_t,0.8737777777777778
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,AIA,0.8963306878306878
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,BWT,-0.02640476190476193
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,Forgetting,0.02640476190476193
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,FWT,0.8992142857142857
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,2,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,A_t,0.8667857142857143
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,AIA,0.8889444444444444
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,BWT,-0.03376190476190477
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,Forgetting,0.03376190476190477
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,FWT,0.8913809523809523
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,3,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,A_t,0.8386571428571429
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,AIA,0.8788869841269842
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,BWT,-0.03950000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,Forgetting,0.03950000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,FWT,0.8921071428571428
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,4,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,A_t,0.8265873015873016
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,AIA,0.8701703703703704
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,BWT,-0.04263809523809525
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,Forgetting,0.04263809523809525
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,FWT,0.8702571428571428
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,5,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,A_t,0.8084285714285714
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,AIA,0.8613501133786848
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,BWT,-0.06204761904761904
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,Forgetting,0.06204761904761904
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,FWT,0.8621190476190476
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,6,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,A_t,0.7944642857142856
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,AIA,0.8529893849206349
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,BWT,-0.06365306122448984
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,Forgetting,0.06365306122448984
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,FWT,0.8616122448979591
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,7,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,A_t,0.7882310405643739
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,AIA,0.8457940133254948
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,BWT,-0.0655436507936508
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,Forgetting,0.0655436507936508
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,FWT,0.8501607142857144
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,RAG_mean,0.05000000000000001
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,8,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,9,A_t,0.787
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,9,AIA,0.8399146119929453
