run_id,dataset,method,scenario,seed,task_idx,metric,value
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,RAG_mean,-0.03333333333333334
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Anchor_Retention,0.043333333333333335
cifar100__aper_adapter__cumulative_drift__seed1,cifar100,aper_adapter,cumulative_drift,1,9,Long_Range_Retention,0.051000000000000004
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,A_t,0.267
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,AIA,0.267
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,BWT,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,Forgetting,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,FWT,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,RAG_mean,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,0,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,A_t,0.15835714285714286
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,AIA,0.21267857142857144
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,BWT,-0.08600000000000002
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,Forgetting,0.08600000000000002
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,FWT,0.267
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,1,Repetition_Gain,-0.06904761904761907
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,A_t,0.1345873015873016
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,AIA,0.18664814814814815
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,BWT,-0.09304761904761906
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,Forgetting,0.09304761904761906
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,FWT,0.20135714285714287
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,2,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,A_t,0.11342857142857145
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,AIA,0.16834325396825398
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,BWT,-0.08442857142857142
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,Forgetting,0.08442857142857142
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,FWT,0.1966190476190476
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,3,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,A_t,0.09548571428571428
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,AIA,0.15377174603174604
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,BWT,-0.07882142857142857
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,Forgetting,0.07882142857142857
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,FWT,0.17675
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,4,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,A_t,0.08566666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,AIA,0.14242089947089948
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,BWT,-0.07374285714285715
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,Forgetting,0.07374285714285715
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,FWT,0.15854285714285715
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,5,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,A_t,0.08434693877551022
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,AIA,0.13412461937155815
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,BWT,-0.08823809523809523
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,Forgetting,0.08823809523809523
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,FWT,0.14711904761904762
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,6,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,A_t,0.07580803571428572
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,AIA,0.1268350464143991
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,BWT,-0.08089285714285714
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,Forgetting,0.08089285714285714
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,FWT,0.15997959183673469
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,7,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,A_t,0.06827689594356262
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,AIA,0.12032858525097284
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,BWT,-0.07263492063492064
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,Forgetting,0.07281349206349207
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,FWT,0.14658928571428573
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,8,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,A_t,0.06552857142857142
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,AIA,0.11484858386873269
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,BWT,-0.07209523809523811
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,Forgetting,0.07225396825396828
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,FWT,0.13284126984126987
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,RAG_mean,-0.06666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,Anchor_Retention,0.006666666666666667
cifar100__aper_adapter__cumulative_drift__seed2,cifar100,aper_adapter,cumulative_drift,2,9,Long_Range_Retention,0.051000000000000004
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,A_t,0.21100000000000002
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,AIA,0.21100000000000002
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,BWT,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,Forgetting,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,FWT,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,RAG_mean,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,0,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,A_t,0.15914285714285714
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,AIA,0.18507142857142858
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,BWT,-0.04700000000000004
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,Forgetting,0.04700000000000004
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,FWT,0.21100000000000002
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,RAG_mean,0.016666666666666663
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,1,Repetition_Gain,-0.10428571428571431
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,A_t,0.12304761904761906
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,AIA,0.1643968253968254
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,BWT,-0.07592857142857144
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,Forgetting,0.07592857142857144
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,FWT,0.18264285714285716
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,RAG_mean,0.016666666666666663
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,2,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,A_t,0.10426785714285715
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,AIA,0.14936458333333336
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,BWT,-0.0736904761904762
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,Forgetting,0.0736904761904762
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,FWT,0.17366666666666666
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,RAG_mean,0.016666666666666663
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,3,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,A_t,0.08454285714285714
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,AIA,0.1364002380952381
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,BWT,-0.07171428571428573
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,Forgetting,0.07171428571428573
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,FWT,0.15953571428571428
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,RAG_mean,0.016666666666666663
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,4,Repetition_Gain,nan
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,A_t,0.07038888888888889
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,AIA,0.12539834656084659
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,BWT,-0.06687619047619049
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,Forgetting,0.06687619047619049
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,FWT,0.14191428571428572
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,RAG_mean,0.016666666666666663
cifar100__aper_adapter__cumulative_drift__seed3,cifar100,aper_adapter,cumulative_drift,3,5,Repetition_Gain,nan
